Index,IUPAC
249,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
250,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
251,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0
252,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
253,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8
254,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8
255,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
256,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
257,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
258,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
259,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8
260,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
261,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
262,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
263,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8
264,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
265,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0
266,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
267,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8
268,Neu5Ac(a2-6)GalNAc(a1-Sp8
269,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0
270,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8
271,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
