ancient,old,new,PSA 0.1ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 1ug/ml Slide#14039 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14040 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 100ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14172 CFG#2342 v5.0 Alexa488 7/6/11 HJ
Galβ1-4GlcNAcβ1-2(Galβ1-4GlcNAcβ1-4)Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAc-Sp21,Galb1-4GlcNAcb1-2(Galb1-4GlcNAcb1-4)Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp21,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-4(Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,11.121175,12.465375000000002,20.114674999999988,24.269025,5.645425
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-2Manα1-3(GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,7.5672,14.981375000000005,181.540525,79.805775,9.707625000000004
Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-2Manα1-3(Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3(Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,5.224174999999999,12.728525,23.9755,118.15459999999996,16.418775000000004
Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ1-2Manα1-3(Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3(Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,8.816749999999997,8.561474999999998,6.1895500000000006,202.76010000000005,347.92885
GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-2Manα1-3(GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3(GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,5.081199999999999,22.596375,18.050775000000012,25.898724999999985,3.51295
Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-2Manα1-3(Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,-0.5113749999999992,8.482975,14.2033,48.83657500000004,10.121475000000004
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-3(Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-2Mana1-3(Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,2.522525,38.72410000000001,21.507725,63.57384999999999,53.441125
Neu5Acα2-3Galβ1-4GlcNAcβ1-3GalNAc-Sp14,Neu5Aca2-3Galb1-4GlcNAcb1-3GalNAc-Sp14,Neu5Aca2-3Galb1-4GlcNAcb1-3GalNAc-Sp14,5.176050000000002,5.209499999999999,1.9522499999999996,14.717474999999995,0.9831250000000012
Neu5Acα2-6Galβ1-4GlcNAcβ1-3GalNAc-Sp14,Neu5Aca2-6Galb1-4GlcNAcb1-3GalNAc-Sp14,Neu5Aca2-6Galb1-4GlcNAcb1-3GalNAc-Sp14,3.115475,7.247449999999999,3.21335,31.35695,9.780325000000003
Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-3GalNAcα-Sp14,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,16.607875,51.62157499999999,22.650350000000003,119.59367499999996,36.835475
(GalNAcβ1-4GlcNAcβ1-2Manα1-6)GalNAcβ1-4GlcNAcβ1-2Manα1-3Manβ1-4GlcNAcβ1-4GlcNAc-Sp12,(GalNAcb1-4GlcNAcb1-2Mana1-6)GalNAcb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,GalNAcb1-4GlcNAcb1-2Mana1-6(GalNAcb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,53.60422500000002,89.11409999999998,81.33377500000002,199.680975,89.06790000000002
Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4Glc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc-Sp0,9.2532,12.800599999999998,1.554525,52.29012500000001,3.7750750000000064
Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,1.9159250000000012,9.685975,4.187925000000002,23.4415,11.118925
Galβ1-3GlcNΑcβ1-3(Galβ1-3GlcNΑcβ1-3Galβ1-4GlcNΑcβ1-6)Galβ1-4Glcβ-Sp0,Galb1-3GlcNacb1-3(Galb1-3GlcNacb1-3Galb1-4GlcNacb1-6)Galb1-4Glcb-Sp0,Galb1-3GlcNacb1-3Galb1-4GlcNacb1-6(Galb1-3GlcNacb1-3)Galb1-4Glcb-Sp0,6.761275,14.1054,15.819199999999995,14.863625,9.50855
Galβ1-3GlcNAcβ1-3(Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Galb1-3GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21 ,Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,3.4584249999999983,10.741075000000002,17.287525000000002,8.934775000000002,6.9967500000000005
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4Glc-Sp21,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-3(Galb1-4GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4GlcNAcb1-6(Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-3)Galb1-4Glc-Sp21,15.014099999999996,23.096225000000004,16.90245000000001,9.82285,7.890550000000001
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3(Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4(Fuca1-3)GlcNAcb1-6(Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-3)Galb1-4Glc-Sp21,3.67325,-2.444275000000001,6.309825000000003,7.144200000000001,3.55265
Galβ1-3GlcNAcβ1-3(Galβ1-3GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Galb1-3GlcNAcb1-3(Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21 ,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,4.153925000000002,7.325725,7.965724999999999,37.953725,30.269725
