ancient,old,new,NPA 10ug/ml Slide#14171 CFG#2342 v5.0 Alexa488 7/6/11 HJ,NPA 0.1ug/ml Slide#14050 CFG#2342 v5.0 Alexa488 6/28/11 HJ,NPA 1ug/ml Slide#14051 CFG#2342 v5.0 Alexa488 6/28/11 HJ,NPA 10ug/ml Slide#14052 CFG#2342 v5.0 Alexa488 6/28/11 HJ,NPA 100ug/ml Slide#14050 CFG#2342 v5.0 Alexa488 6/28/11 HJ
Galα1-4Galβ1-3GlcNΑcβ1-2Manα1-3(Galα1-4Galβ1-3GlcNΑcβ1-2Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑcβ-Sp19,Gala1-4Galb1-3GlcNacb1-2Mana1-3(Gala1-4Galb1-3GlcNacb1-2Mana1-6)Manb1-4GlcNacb1-4GlcNacb-Sp19,Gala1-4Galb1-3GlcNacb1-2Mana1-6(Gala1-4Galb1-3GlcNacb1-2Mana1-3)Manb1-4GlcNacb1-4GlcNacb-Sp19,251.5263,35.4836,116.00947499999998,449.1841,1782.813025
Galα1-4Galβ1-4GlcNΑcβ1-2Manα1-3(Galα1-4Galβ1-4GlcNΑcβ1-2Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑcβ-LVΑNKT,Gala1-4Galb1-4GlcNacb1-2Mana1-3(Gala1-4Galb1-4GlcNacb1-2Mana1-6)Manb1-4GlcNacb1-4GlcNacb-LVaNKT,Gala1-4Galb1-4GlcNacb1-2Mana1-6(Gala1-4Galb1-4GlcNacb1-2Mana1-3)Manb1-4GlcNacb1-4GlcNacb-Sp24,17.264525000000006,9.678974999999998,54.803875,670.107325,3230.182950000001
Galα1-3Galβ1-4GlcNΑcβ1-3GalNΑcα-Sp14,Gala1-3Galb1-4GlcNacb1-3GalNaca-Sp14,Gala1-3Galb1-4GlcNacb1-3GalNaca-Sp14,23.667775,4.9282,4.245,10.223574999999997,-1.1687750000000037
Galβ1-3GlcNAcβ1-6Galβ1-4GlcNAcβ-Sp0,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,3.1057749999999995,-5.425799999999999,6.514275000000001,1.8140250000000029,-6.2535500000000015
Galβ1-3GlcNAcα1-6Galβ1-4GlcNAcβ-Sp0,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,13.404149999999998,-6.920924999999999,-0.30397499999999944,1.331224999999998,-1.4046999999999965
GalNAcβ1-3Galα1-6Galβ1-4Glcβ-Sp8,GalNAcb1-3Gala1-6Galb1-4Glcb-Sp8,GalNAcb1-3Gala1-6Galb1-4Glcb-Sp8,11.381799999999998,5.6262250000000025,-0.3807000000000009,10.810375,6.252524999999999
GlcNAcβ1-6(GlcNAcβ1-3)GalNAcα-Sp14,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,,,,,,
Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)Glcβ-Sp21,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)Glcb-Sp21,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)Glcb-Sp21,15.857800000000005,7.779575000000002,4.142925,8.00075,4.737825000000001
Neu5Acα2-6Galβ1-3GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4Glc-Sp21,Neu5Aca2-6Galb1-3GlcNAcb1-3(Galb1-4GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21,10.529725,6.244375,10.311700000000002,-7.994950000000001,9.692849999999996
Galβ1-3GalNAcβ1-4(Neu5Acα2-8Neu5Acα2-3)Galβ1-4Glcβ-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,6.4356500000000025,2.1442,6.3751000000000015,-4.646474999999999,3.777424999999997
